"modelDID","validatorDID","providerDID","evaluationRunId","correctResponse","promptCID","responseCID","promptData","responseData","promptedAt","repliedAt","evaluationDID","score"
"did:pb:openai/chatgpt-4o-latest","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaieracyfbcx6ptrh67zqq7k2cn2jvqw3lwmkbupgkwqiuky5q62fmv6sq","bagaaierakwnovuecmtkxsxjzbfyyzxifvpkjk4xij7svleho6mniriep376q",,,1744186294946,1744186296211,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:openai/chatgpt-4o-latest","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaiera5ktuz4tct6sqgznsqyaj3i2e6vgybznk3v5fqbfeczltbk5ao7zq","bagaaierakwnovuecmtkxsxjzbfyyzxifvpkjk4xij7svleho6mniriep376q",,,1744186298217,1744186298935,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:openai/chatgpt-4o-latest","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaierao2obzcatmvgfsss3vlstmufdbhoh4czsfebf3pf2uu72z6udlshq","bagaaiera357hbziccvcpja2lx3tevhrxrh7lys7icryn6yu4vvw5wazsbjoa",,,1744186300940,1744186301492,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:meta-llama/llama-4-scout","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaieracyfbcx6ptrh67zqq7k2cn2jvqw3lwmkbupgkwqiuky5q62fmv6sq","bagaaierakwnovuecmtkxsxjzbfyyzxifvpkjk4xij7svleho6mniriep376q",,,1744186294947,1744186296234,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:meta-llama/llama-4-scout","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaiera5ktuz4tct6sqgznsqyaj3i2e6vgybznk3v5fqbfeczltbk5ao7zq","bagaaiera357hbziccvcpja2lx3tevhrxrh7lys7icryn6yu4vvw5wazsbjoa",,,1744186298238,1744186299301,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",0
"did:pb:meta-llama/llama-4-scout","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaierao2obzcatmvgfsss3vlstmufdbhoh4czsfebf3pf2uu72z6udlshq","bagaaiera357hbziccvcpja2lx3tevhrxrh7lys7icryn6yu4vvw5wazsbjoa",,,1744186301305,1744186301835,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:anthropic/claude-3.7-sonnet","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaieracyfbcx6ptrh67zqq7k2cn2jvqw3lwmkbupgkwqiuky5q62fmv6sq","bagaaierakwnovuecmtkxsxjzbfyyzxifvpkjk4xij7svleho6mniriep376q",,,1744186294947,1744186297130,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:anthropic/claude-3.7-sonnet","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaiera5ktuz4tct6sqgznsqyaj3i2e6vgybznk3v5fqbfeczltbk5ao7zq","bagaaierakwnovuecmtkxsxjzbfyyzxifvpkjk4xij7svleho6mniriep376q",,,1744186299133,1744186300275,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:anthropic/claude-3.7-sonnet","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-c2a2-730b-aab9-b9b0b1f7a101",,"bagaaierao2obzcatmvgfsss3vlstmufdbhoh4czsfebf3pf2uu72z6udlshq","bagaaiera357hbziccvcpja2lx3tevhrxrh7lys7icryn6yu4vvw5wazsbjoa",,,1744186302278,1744186303671,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
"did:pb:openai/chatgpt-4o-latest","did:val:0x5D99Ea5ae9d65BDc8De1359c42B9bfF1ec18F7b0","did:pb:openrouter.ai","0196199a-ec8b-7298-8610-2598c5cb92d4",,"bagaaieraps6zfdurhfe3tnxwz3nw3lfckew4b2baniw7xsadku7ttxxjmdeq","bagaaieranmr4bvptlunrd6nwqpylbjqxgvo6wejhpwi24ci5hgogkw4hsqgq",,,1744186305675,1744186306265,"did:eval:0196199b-17c1-7368-be21-a57d7e9f7753",1
